pairID,Statement.QUESTION,Statement.RESPONSE,Case_ID.QUESTION,Question_ID.QUESTION
604,When did the pain in your chest start?,That doesn't hurt.,630657,231-204
614,Have you ever been hospitalized for symptoms like the ones you have now?,"I was in the hospital for that heart shock treatment. I don't know if this is the same problem, but I'm worried about the old ticker again, so please do!",630657,1434
615,Does the pain get better when you bend forward or sit?,No.,630657,1183
622,What do you think might be causing your symptoms?,I haven't any idea. Something bad is going on. I can tell you that for sure.,630734,1435
623,Do you have night sweats?,No.,630734,545-41
628,When was your last bowel movement?,Earlier today.,630734,1412
638,What treatments have you had for your high blood pressure?,I've been on medications for my blood pressure since I was 60.,630734,590-32
644,Have you had nausea and/or vomiting like this before?,Nothing like this.,630734,242-39
645,How quickly does your nausea and/or vomiting come on?,Came on right after the pain started.,630734,603-39
649,Can you tap out the pattern of your palpitations?,"No, it's more irregular than that.",630734,456
657,Do your symptoms persist if you stop eating?,I don't know. I haven't eaten since this started.,630734,321
673,Do you have a history of recent or current infectious disease?,Uh...no.,630734,1158
737,Do you have pain/discomfort when you urinate?,Nope. No pain with that.,635407,545-20
757,Is your pain relieved after a bowel movement?,No.,635879,317
860,Do you have involuntary bowel movements?,Nope.,637069,277
866,Do you have any pain or other symptoms associated with your nausea and/or vomiting?,The pain in my belly.,637069,598-39
876,"Do your symptoms occur after eating rye, wheat, or barley?",No.,637530,319
879,Do milk or dairy products worsen your symptoms?,No,637530,318
890,How long does the pain in your abdomen last?,It hasn't let up since it started.,637530,1114
910,Have you fallen?,Uh...no.,637530,1399
912,Have you noticed swelling in any part of your body?,No.,637530,545-22
914,"Have you gained or lost weight unintentionally, despite normal appetite and exercise?","No, but my wife thinks I am gaining weight and keeps trying to put me on a diet.",637530,309
920,Do you have a history of an ulcer?,No.,637530,1188
938,Do you eat raw or undercooked meat?,No,637530,52
939,Do you consume untreated water or dairy products?,No,637530,51
942,"Do you presently have heartburn, a food or acid taste in your mouth?",Uh...no.,637530,297
948,"Have you self-induced vomiting, used laxatives, diuretics, or enemas to control your weight?",Uh...no.,637530,538
954,Do you ever feel/have a problem with lightheadedness?,Nope.,637530,1678
961,Do your palpitations keep you from sleeping?,"No, not at all.",637530,602-42
962,How quickly do your palpitations come on?,Hard to say.,637530,603-42
963,Have you had palpitations like this before?,"Yeah, but not since they shocked be about a year ago.",637530,242-42
964,Do your palpitations come and go?,Generally not.,637530,604-42
968,Does anyone in your family have palpitations?,Uh...no.,637530,444-42
969,What treatments have you had for your palpitations?,"Well, they shocked me about a year ago.",637530,590-42
976,Do you have chronic blood loss or a recent blood loss?,Uh...no.,637530,507
980,Do you have a history of high lipids or triglycerides?,Nope.,637530,1137
988,Have you recently taken any antibiotics?,No.,638646,103
993,Do you have a history of atrial fibrillation?,Yes. They used electricity on my heart a year ago to straighten it out.,638646,694
1003,Are you having or have you had unprotected sex?,No.,638646,112
1025,Have you gained weight?,Nope.,638646,545-53
1031,What are the events surrounding the start of your difficulty breathing?,I don't have difficulty breathing ... I am feeling a little short of breath.,638646,267-19
1033,Does lying on one side or the other increase your shortness of breath?,Not that I know of.,638646,205
1041,Have you been depressed?,Uh...no.,638646,545-13
1042,"Have you been nervous, anxious or worried about something?",Uh...no.,638646,37
1060,Where are you?,In the emergency room.,639389,564
1095,"Have you been diagnosed with a clotting disorder? (terms like APS, APLS, Hughes)",No.,639389,629
1096,Have you been diagnosed with a bleeding disorder?,Uh...no.,639389,628
1099,Do you use injection (IV) drugs?,Uh...no.,639389,54
1101,How many years have you been smoking?,"A good 50 years, now.",639389,256
1104,Do you sit long hours at work?,I'm retired.,639389,1359
1133,Where do you live?,My wife and I have a nice house close by.,639389,452
1153,Are you unable to urinate?,No,639389,275
1155,Do you have a history of a volvulus (twisted bowel)?,No.,639389,1127
1156,Have you or any family member had a history of inflammatory bowel disease?,No,639389,643
1157,Have you passed any stones in your urine?,No.,639389,1404
1158,Have you or any family member had a history of kidney stones?,No.,639389,644
1194,Have you ever been diagnosed with a hernia?,Nope.,639430,660
1195,Do you or have you had diverticulosis or diverticulitis?,Nope.,639430,139
1197,Do you now or have you had cancer?,Nope.,639430,195
1232,Have you or do you use cocaine?,No,639430,656
1241,Are you passing any clots?,I'm a guy!,639430,152
1243,Have you been diagnosed with chronic mesenteric ischemia?,Uh...no.,639430,655
1250,Do you feel confused at times?,No,639430,545-10
1254,Do you have swollen lymph nodes?,Nope.,639430,545-47
1255,"Are your swollen glands painful, tender, hard, or draining?",I don't have swollen glands.,639430,479
1267,Does walking or standing for a long time bring on the pain?,No.,640013,1182
1288,Do you regurgitate old food?,Nope.,640013,353
1300,Does anything make your difficulty breathing better or worse?,I don't have difficulty breathing ... I am feeling a little short of breath.,640013,244-19
1317,How long have you had loose stools?,Just the last one was loose.,640013,1371
1326,Have you been exposed to any toxic substances or unusual chemicals?,Nope.,640013,425
1342,What time is it?,hx.time-answer,640082,565
1343,What happened?,I'm in a lot of pain.,640082,566
1366,Is anyone in your family also suffering with nausea and/or vomiting?,Nope.,640082,444-39
1380,Have you recently been hospitalized?,Last time I was in a hospital was for that heart shock thing about a year ago.,640082,1139
1397,Do you take your medications with fluids?,Sure do.,640082,346
1398,What time of day do you take your medicines?,In the morning.,640082,347
1399,Do you take insulin for diabetes?,Uh...no.,640082,270
1412,Do you have medical insurance?,Yup.,640082,1288
1433,Have you ingested anything caustic?,Uh...no.,640082,693
1470,Has there been a change in your urination frequency?,Nope.,640996,1164
1472,Do you have any other symptoms with your fever?,That's not a problem for me.,640996,598-25
1536,Can you describe the nature of the confusion or the types of memory loss?,I don't have that problem.,641547,1220
1571,Have you or any family member had a history of colon polyps or colon cancer?,No,641547,638
1574,Have you had any stenting procedures?,No. They said I wasn't bad enough off to need that yet.,641547,670
1585,Any diet changes since your last appointment?,I don't know why you are asking me this.,641547,1306
1596,"Do you feel unwell, not normal or just ""not yourself"" (malaise) lately?",Not really.,643114,1195
1600,How much weight have you gained?,I don't have that problem.,643114,543-53
1605,When did your cough start?,I haven't had that problem.,643114,561-12
1613,Do you have a problem swallowing?,Uh...no.,643114,545-18
1614,Do you leak urine (urinary incontinence)?,No,643114,545-51
1627,Do you have any pain in your groin?,Nope.,643114,1254
1630,Any problem moving your back?,Uh...no.,643114,228-203
1631,Is there any stiffness in your back?,No,643114,551-203
1645,Can you swallow pills?,Yeah.,643114,1367
1651,Do you take ACE inhibitors?,I believe that's what lisinopril is. You better study up on your medications.,643114,298
1659,Where were you born and where did you grow up?,In this country.,643114,142
1660,What is your ancestry?,Do you really need to know that?,643114,673
1664,How many diets have you been on in the last year?,None.,643114,539
1665,"Have you recently eaten anything with MSG in it (e.g., Chinese food)?",Nope.,643114,1148
1666,Have you been eating food prepared outside the home or from street vendors?,No.,643114,1208
1668,When and what did you last drink?,This morning.  I had some juice.,643114,265
1710,Is anyone who ate or drank the same things as you sick?,No,644045,448
1743,Tell me how that makes you feel.,Bad!,644176,576
1764,Do you have loose stools?,Uh...no.,644176,1612
1770,Has there been any change in your shortness of breath over time?,"It just started one hour back, so I really can't say.",644176,1677
1771,Is it hard to get a deep breath or exhale?,Neither.,644176,199
1772,How severe is your difficulty breathing?,"I don't have difficulty breathing, I am feeling a little short of breath.",644176,543-19
1775,What treatments have you had for your diarrhea?,I haven't had that problem.,644176,590-14
1790,Have you recently had x-rays taken?,No,644176,1160
1791,Have you recently received any IV or intra-arterial dye (such as for a CT scan or angiogram)?,"Not really recently, but last year when they had to shock me for that a-fib, they gave me some dye for testing my heart.",644176,1140
1826,How severe is your high blood pressure?,"Well, I've been on medications for my blood pressure since I was 60.",644176,543-32
1828,What is the color of your urine and has it changed recently?,Light yellow.  Seems normal as usual to me.,644176,339
1830,Are you having any trouble with your vision?,No,644176,1416
1831,Do you have any pelvic pain?,No,644176,230-273
1832,How often does this abdominal pain occur?,Often? Like have I ever had stomach pain like this before?,644176,599-200
1839,Do you have any skin problems?,No,644176,366
1888,Any change in your thirst?,Like needing to drink more? No.,644307,532
1891,Do you have or have you had a urinary tract infection?,Uh...no.,644307,671
1897,What are the events surrounding the start of your testicular pain?,I really don't have pain.,644977,1269
1906,Do you have any pain in your flanks?,Uh...no.,644977,230-270
1911,When was the last time you saw blood in your stool or passed a tarry bowel movement?,That's not a problem for me.,644977,1202
1924,Do you have a family history of heart disease?,Yes. My dad died of a heart attack.,644977,641
1927,When did you first notice your change in weight?,I haven't had a change in weight.,644977,529
1932,Have you ever been diagnosed with peripheral vascular disease?,Nope.,644977,668
1957,Do you have greasy foul smelling stools?,Uh...no.,645303,674
1961,When did you arrive in this country?,What? Why are you asking this?,645303,774
1981,Do you feel anxious?,No.,645303,545-6
2025,Are your stools unusually light in color?,Nope.,645303,626
2026,Do you have any pain in your rectum?,Uh...no.,645303,230-274
2029,How often do you feel that you need to move your bowels?,A couple times a day.,645303,290
2030,Is there a pattern to your bowel movements?,Yes.  They seem normal to me.,645303,283
2034,Do you have any problems walking?,No.,645303,545-27
2121,Have you ever fainted?,Nope.,645482,486
2259,What has been happening since your last visit?,This is my first visit.,645696,581
2372,Have you changed your caffeine intake?,No.,647072,1145
2384,Do you have any trouble with hot or cold environments?,No.,647072,127
2385,Do you have a tremor?,No,647072,545-50
2389,Have you recently experienced hot flashes?,Haven't you noticed? I'm a guy!,647072,123
2390,Do you have episodes of excessive sweating?,No.,647072,2
2391,Have you noticed any lumps in your neck or armpit?,Uh...no.,647072,1384
2394,Have you had or been exposed to someone with hepatitis?,No,647072,428
2406,Do you have pain when lifting?,I haven't tried since this started.,647483,647
2433,Does your nausea and/or vomiting keep you from sleeping?,Just started this morning.,647483,602-39
2448,Have you ever been told that you have a heart murmur or valve problem?,No.,647483,731
2449,Have you been diagnosed with or have endocarditis?,No.,647483,637
2453,Do you or have you had gastrointestinal cancers?,Uh...no.,647483,138
2460,Have you ever had pancreatitis?,No.,647483,667
2461,Have you ever been diagnosed with peritonitis?,Nope.,647483,683
2591,Do you have a rash?,Nope.,647687,545-44
2693,Has there been any change in your palpitations over time?,I don't know how to answer that. This just started up again recently. So I guess you could say that's a change.,647759,439-42
2754,Have you lost weight?,No.,648283,545-54
2814,Does the pain change with your period?,I'm a guy!,648447,220
2840,How severe (1-10 scale) is the pain in your chest?,Why are you asking me that?  I don't have pain there.,648447,237-204
2849,Does anything make your high blood pressure better or worse?,Not sure since I'm on medication for it.,648447,244-32
2851,Have you had problems with high blood pressure before?,Not sure. It was just picked up by my doctor on a routine check-up.,648447,242-32
2852,Has there been any change in your high blood pressure over time?,Not sure since I'm on medication for it.,648447,439-32
2853,Does your problem with high blood pressure come and go?,Not sure since I'm on medication for it.,648447,604-32
2860,Does anything make your diarrhea better or worse?,I don't really have that problem.,648447,244-14
2983,Is your urine pink or red in color (blood in urine)?,Not that I've seen.,649499,545-30
2987,Do you have a history of valvular heart disease?,No.,649499,1120
3030,Have you recently fainted?,Nope.,649499,1674
3032,Are you coughing up blood?,No,649499,545-31
3071,Do you have asthma?,No.,649515,571
3072,Do you have chronic obstructive pulmonary disease (COPD)?,No.,649515,424
3075,"What cancer screening tests have you had, and what were the results?",Not sure that I've had those.,649515,620
3140,Have you been diagnosed with a neurological problem(s)?,No,649673,454
3146,Do you feel when you need to urinate that you need to urgently?,No,649673,691
3324,How does this affect your life?,"Can't tell, yet.",650941,578
3355,"How much blood did you see in your vomit (a teaspoon, cup, quart, etc.)?",I haven't vomited that.,650941,1198
3387,Do you have a family history of sudden death?,Yeah. My dad. Heart attack.,650941,119
3392,Have you ever felt you needed to cut down on your drinking?,Uh...no.,650941,1234
3443,How many episodes of vomiting blood or coffee grounds did you have?,I haven't vomited that.,651022,1197
3514,Do you have kidney problems?,Uh...no.,652068,117
3527,Do you have a history of hemorrhoids?,Nope.,652068,1236
3528,Do you ever leak urine without realizing it until later?,I don't really have that problem.,652068,516
3534,Do you have any other symptoms associated with your fatigue/tiredness?,That's not a problem for me.,652068,598-24
3558,"Do you prefer to stay at home, rather than going out and doing things?",No,652206,725
3561,Have you recently been exercising vigorously?,Nope.,652206,688
3565,Any change in your chest pain since it began?,Why are you asking me that?  I don't have pain there.,652206,241-204
3579,Have you had any trauma to your head?,Uh...no.,652206,596-213
3580,What does the pain in your head feel like?,That doesn't hurt.,652206,235-213
3590,Do you have any pain in your leg(s)?,No.,652206,230-263
3630,Do you have a history of an upper GI bleed?,Nope.,652612,1184
3665,How did you injure yourself?,I didn't hurt myself.,652612,431
3779,Do you feel dry or dehydrated or drained of moisture?,Uh...no.,653629,1378
3860,Do you wheeze?,Uh...no.,653941,296
4088,Do you have episodes of hiccups?,Nope.,657279,649
4094,"Do you have any rectal bleeding, not associated with defecation?",Nope.,657279,1386
4098,Are you basically satisfied with your life?,Yeah.,657279,732
4110,Are you having any difficulty sleeping?,No.,657279,35
4112,Do you bruise or bleed easily?,Uh...no.,657279,153
4120,Is the amount you urinate more or less than usual?,It seems pretty normal to me.,657279,360
4200,Do you have any pain in your shoulder(s)?,No.,657793,230-253
4210,Have you recently had any mood or personality changes?,Uh...no.,657793,124
4342,Have you noticed blurred vision?,No,659143,1134
4487,Do you have low blood pressure?,No.,659470,1687
4632,When and what were the results of your last prostate exam?,I don't know. Is that important right now? My stomach is killing me.,660005,1342
4641,Are you using any form of birth control?,Nope.,660005,1222
4669,Do you have arthritis?,No,660005,43
4673,Have you ever been diagnosed with an autoimmune disease?,Nope.,660005,1117
4674,"Have you ever been diagnosed with a blood disease (e.g., leukemia, amyloidosis)?",Nope.,660005,696
4675,Do you have a history of endocrine disorders?,No,660005,1381
4814,Have you had any sexually transmitted disease?,Uh...no.,663866,392
4842,Do you have any pain in your genitals?,No.,663866,230-211
4843,Have you had any trauma to your rectum?,Nope.,663866,596-274
5002,Do you cough after swallowing?,Nope.,664432,342
5005,Have you experienced nasal regurgitation?,No,664432,350
5013,When is your incontinence worse?,Don't have that problem.,664432,523
5015,Do you have to strain when defecating?,Nope.,664432,135
5061,Do you use precautions to prevent the transmission of sexual diseases?,Yup.,664442,1302
5075,Do your stools float or is it difficult to flush them?,No.,664442,634
5105,"What cholesterol screening tests have you had, and what were the results?",I haven't had any tests like that.,664442,621
5249,How much can you exercise before being short of breath?,"Usually, a fair amount.",665787,206
5465,Have you been camping recently?,No.,667991,1394
5681,Do you have any bruises?,Nope.,668159,1566
5831,Do you have any pain in your jaw?,Nope.,668623,230-215
5956,Do you have any pain in your arms?,No.,669040,230-259
6202,Have you had shingles in the past?,Uh...no.,669928,1442
6206,Have you had pneumonia recently?,Nope.,669928,1150
6448,How much did you eat and drink?,"The last time I ate? Nothing out of the ordinary for me. I mean, I didn't have an excessive amount.",671369,266
6490,Have you had any skin sores or change in color?,Uh...no.,671977,130
6517,Are you having sexual intercourse?,That's private. What does that have to do with my stomach anyway?,671977,158
6571,Any tingling or numbness in your legs?,No.,672105,227-263
6572,Any tingling or numbness in your arms?,Nope.,672105,227-259
6579,Do you have a chronic cough?,Uh...no.,672105,1101
6660,"Do you have abdominal bloating, back pain, weight gain or mood change a few days before your period starts?",I'm a guy!,674117,155
6662,Does the pain in your back radiate someplace else? Where?,I don't have pain there.,674117,236-203
6758,What treatments have you had for your headache?,Don't have that problem.,674517,590-28
6767,Do you have trouble lying in one position comfortably?,No.,674517,1358
6770,Do you have any pain in your feet?,Nope.,674517,230-255
6972,Do you have a history of an abdominal aortic aneurysm repair?,No.,675226,1185
7028,Have you been more irritable or angry lately?,No.,676045,29
7030,Have you ever experienced sudden intense dread or fright?,No,676045,178
7112,Do you have a sense of fullness in your rectum?,Nope.,676653,1657
7163,"Have you recently ingested any acetaminophen, herbal supplements, or wild mushrooms?",No,676653,426
7334,Have you had the pain in your back before?,I don't have pain there.,677810,592-203
7578,Do you have a history of Marfan syndrome?,Uh...no.,679592,1230
7837,When did you last urinate?,Do you really need to know that?,680901,1414
7877,Any change in the color of your feet or toes?,No.,680901,1372
7962,Have you recently had any IV fluids or medications?,Uh...no.,681072,374
7994,Have you had more pressure at work?,I'm retired.,681186,18
8043,"Have you been feeling sad, depressed or hopeless? If so, how often do you feel this way?",No,681186,28
8125,Does your difficulty breathing come and go?,I don't have difficulty breathing ... I am feeling a little short of breath.,682066,604-19
8180,Do you hear gurgling noise when you swallow?,No,682066,352
8190,Was there a popping sensation?,No.,682066,432
8202,Do you have a problem remembering things?,No,682066,545-37
8318,Have you been diagnosed with Crohn's disease?,Uh...no.,682774,633
8323,Do you have a history of a lower GI bleed?,No,682774,1186
8343,"Have you had your diphtheria, tetanus, and acellular pertussis vaccine?",Why do you need to know that?,682774,1751
8344,"Have you had your diphtheria, tetanus vaccine?",Why do you need to know that?,682774,1752
8345,Have you had your haemophilus influenzae type B vaccine?,Why do you need to know that?,682774,1753
8346,Have you had your hepatitis A vaccine?,Why do you need to know that?,682774,1754
8347,Have you had your hepatitis B vaccine?,Do you really need to know that?,682774,1755
8354,What is your native language? How well do you understand English?,I understand you.,682774,1282
8362,Have you recently been intoxicated?,Nope.,682774,689
8380,Do you have adequate housing?,Yeah.,682774,1309
8389,Do you have easy/adequate access to transportation necessary for daily living and healthcare needs?,Yeah.,682774,1293
8390,Do you have easy/adequate access to stores with fresh produce?,Yes.,682774,1300
8391,Do you have easy/adequate access to pharmacies for medications?,Yup.,682774,1301
8393,Do you have more than one sexual partner?,No.,682774,25
8394,Has your partner ever threatened to harm or kill you?,I don't know why you are asking me this.,682774,1576
8395,Has your partner ever used physical violence against you?,Uh.... why are you asking me this?,682774,1577
8414,Can you get out of bed without assistance?,Yes.,682774,1742
8416,Do you use any special or built up chair for getting up from a chair?,No,682774,1772
8417,Can you bathe and dress yourself without assistance?,Yup.,682774,1743
8418,Do you have insomnia?,Nope.,682774,545-33
8419,Do you snore?,Nope.,682774,1519
8442,Have you noticed any pus in your urine?,Uh...no.,682774,587
8444,Have you had your zoster vaccine?,Why do you need to know that?,682774,1764
8446,Have you been exposed to mosquitoes or ticks? Any bites?,Nope.,682774,53
8448,When did your fatigue /tiredness start?,That's not a problem for me.,682774,561-24
8456,Do you have the sensation of incomplete bowel emptying?,Uh...no.,682774,288
8457,Is there a sensation of rectal pressure with urge to defecate and pass small amount of feces?,No,682774,174
8462,Did you develop a sharp pain with the passage of a large or hard stool?,Uh...no.,682774,169
8511,Do you have any skin itching or burning?,No,682774,430
8517,Do you have the sensation of needing to urinate more often?,No.,682774,361
8519,When did your difficulty urinating start?,That's not a problem for me.,682774,1659
8520,Is it hard to start urinating or peeing?,No.,682774,690
8521,When you urinate do you feel that you cannot completely empty your bladder?,No,682774,520
8553,What are the events surrounding the start of your chest pain?,I don't have pain there.,682774,600-204
8554,Is your chest pain precipitated by exercise?,That doesn't hurt.,682774,1410
8555,Is the chest pain worse with deep inspiration?,Uh...no.,682774,1438
8558,Does the pain in your chest radiate someplace else? Where?,I don't have pain there.,682774,236-204
8559,Do you have ear pain?,No.,682774,230-205
8562,Do you have any pain in your neck?,No.,682774,230-219
8577,Have you had the pain in your chest before?,That doesn't hurt.,682774,592-204
8587,Have you had jaundice before?,Nope.,682774,242-34
8599,Do you have any pain in your teeth?,Uh...no.,682774,230-222
8760,Have you had any trauma to your back?,No.,683021,596-203
8761,What treatments have you had for the pain in your back?,That doesn't hurt.,683021,593-203
8801,"Do you have sex with men, women, or both?",I'm heterosexual.,683188,533
9119,Do you get up to urinate frequently during the night?,Nope.,684880,101
9133,Are you eating just before going to bed?,No.,685773,1357
9182,Are you now or have you ever been anemic?,Uh...no.,685773,417
9217,How many episodes of bright red blood or melena in your stool did you have?,I don't really have that problem.,686177,1200
9286,Have you had diarrhea problems like this before?,No.,686177,242-14
9287,Does your diarrhea come and go?,I haven't had that problem.,686177,604-14
9357,"Do you have new weakness in an arm, leg or your face?",No.,686192,1112
9388,What treatments have you had for the pain in your chest?,I don't have pain there.,686323,593-204
9574,Do you feel like you must rush when you need to move your bowels?,No.,686700,639
9885,Do you have any pain or other symptoms associated with your cough?,I don't have that problem.,687163,598-12
9886,Do you have any pain or other symptoms associated with your walking problems?,Don't have that problem.,687163,598-27
9893,Does the pain in your back come and go?,That doesn't hurt.,688043,238-203
10245,Have you lost vision?,No.,689812,1163
10274,Do you have blood in your semen?,No.,689812,699
10283,Is your fatigue unrelated to physical effort?,I'm not fatigued.,689812,13
10548,How severe (1-10 scale) is the pain in your leg(s)?,Why are you asking me that?  I don't have pain there.,692424,237-263
10698,Does anything make your testicular pain better or worse?,I don't have pain.,692939,1271
10725,Are you hungry and eating more than usual?,Uh...no.,693165,582
10755,Do you have ringing in your ears?,Uh...no.,693165,545-49
10910,When did your fever start?,I don't have that problem.,693937,561-25
10941,When did you first notice the bright red blood or black stool?,Uh.... why are you asking me this?,694017,1611
11086,Are you exposed to second hand smoke?,Nope.,694514,1292
11101,How long does your chest pain last?,That doesn't hurt.,694514,1191
11114,How much weight have you lost?,I haven't had that problem.,694514,543-54
11115,What are the events surrounding the start of your problem with weight loss?,I haven't had that problem.,694514,267-54
11118,Are you sleepy during the day?,Uh...no.,694514,1166
11165,Have you been diagnosed with Lyme disease? ,No,694548,1216
11166,Have you had polio?,Nope.,694548,443
11174,"Have you ever lived in a homeless shelter, detention center or prison?",Nope.,694548,55
11183,Have you ever been annoyed at anyone for suggesting that you cut back on your alcohol consumption?,No,694548,23
11185,Do you need an alcoholic drink first thing in the morning?,Uh...no.,694548,22
11213,Do you have persistent bad breath?,Nope.,694548,305
11386,Do you have any pain or other symptoms associated with your difficulty breathing?,I don't have difficulty breathing ... I am feeling a little short of breath.,696580,598-19
11538,Is there any pattern to when you have difficulty breathing?,I don't have difficulty breathing ... I am feeling a little short of breath.,697191,542-19
11950,Does your fatigue/tiredness come and go?,That's not a problem for me.,698370,604-24
12169,What are the events surrounding the start of your facial pain?,I don't have pain there.,698725,600-207
12277,Have you had tuberculosis?,Nope.,698733,376
12318,How often do you have problems with constipation?,I haven't had that problem.,698733,541-11
12422,Have you been stung by bees or wasps?,No.,699425,548
12440,Were you a colicky baby?,Nope.,699425,1190
13118,Do you have inflammation in one or more joints?,No,701391,1389
13303,How severe is your abnormal vaginal bleeding?,Why are you asking me? I'm a guy!,701890,543-1
13877,Is there a family history of sickle cell disease?,No,703838,1162
13891,How severe (1-10 scale) is your testicular pain?,I don't have pain.,703879,1276
13909,Did you lose control of your bladder when you fainted?,I haven't fainted.,704028,1219
13912,Does anything make your fatigue/tiredness better or worse?,I don't have that problem.,704028,244-24
13916,When did your problem with weight gain start?,I don't have that problem.,704028,561-53
13961,Have you had chemotherapy treatment?,Nope.,704028,348
13964,Have you ever had dialysis of any kind?,No.,704028,682
13966,Have you ever had hormone replacement therapy?,Nope.,704028,1397
13967,Have you ever participated in a sleep study?,No.,704028,1398
13971,Has anyone suggested that you should reduce the amount of alcohol you drink?,Nope.,704028,21
14336,"Did you have a cough, runny nose, and red eyes before this rash?",I don't have a rash.,706145,464
14338,Do you have postnasal drip?,No,706145,295
14367,Do you have any breast lump or discharge?,No.,706145,481
14502,Have you lost interest in or avoided social activities?,Nope.,706469,30
14658,Do you sometimes have trouble remembering things or finding the right names or words?,No,706762,437
14661,Do you have any pain or other symptoms associated with your problems swallowing?,Don't have that problem.,706762,598-18
14787,Do you have any pain or other symptoms associated with your diarrhea?,That's not a problem for me.,707380,598-14
14988,Has there been any change in your difficulty breathing over time?,I don't have difficulty breathing ... I am feeling a little short of breath.,707543,439-19
15256,How severe is your diarrhea?,I haven't had that problem.,707964,543-14
15521,What was your allergic reaction?,Don't have that problem.,708211,605
15579,Has there been any change in your pain/discomfort with urination over time?,I haven't had that problem.,708252,439-20
15791,Were there any complications with your birth?,Nope.,708326,397
15806,Does increasing your fiber intake improve your constipation?,I don't have constipation.,708326,293
15867,"Are you eating too little or too much? If so, how often are you doing this?",Uh...no.,708349,700
16089,"Have you ever had a blood transfusion? If so, when?",Nope.,708510,427
16659,"Are you having trouble concentrating or making decisions well? If so, how often?",Nope.,708893,32
16809,How severe (1-10 scale) is your headache?,That's not a problem for me.,708938,543-28
17127,What treatments have you had for your fever?,That's not a problem for me.,709131,590-25
17128,Does your fever come and go?,I don't have that problem.,709131,604-25
17533,Does anything make your dizziness better or worse?,I haven't had that problem.,709592,244-16
18033,Is your pain/discomfort worse at the start or end of urination?,I don't have pain when urinating.,709955,364
18325,Do you feel as if you are smothering or suffocating?,Uh...no.,710170,200
18860,Are you drooling?,Nope.,710761,472
18879,Any problem moving your neck?,No.,710761,228-219
18881,Do you need to clear your throat frequently?,Uh...no.,710761,300
19938,Do you have a new wound?,Nope.,711725,1626
19998,Are you taking steroids?,No.,711775,349
20115,Do you have new or multiple sexual partners with similar symptoms?,Nope.,711803,676
20198,Do you have any pain in your face?,Nope.,711940,230-207
20348,Are you coughing up any sputum?,Uh...no.,712140,294
20478,Have you consumed any hot beverages?,No.,712253,1395
20520,What triggers your feelings of anger or irritation?,I haven't had that problem.,712253,771
20534,Have you ever been evaluated for Celiac disease?,No,712253,1396
20537,Have you ever been diagnosed with malabsorption?,No,712253,664
20543,Do you have a history of vasculitis?,No,712253,654
20830,Do you have feelings of guilt or hopelessness?,No,712469,91
20994,When did your lightheadedness start?,I haven't had that problem.,712680,1682
21002,Do you perform breast self examination?,I'm a guy!,712680,617
21003,Have you ever had a Pap smear?,Why are you asking me? I'm a guy!,712680,1420
21325,Do you wear dentures? Are the dentures comfortable?,No.,713103,1738
21345,When did you first notice the blood in your urine?,Don't have that problem.,713103,561-30
21640,Have you had constipation problems like this before?,No,713602,242-11
21828,How quickly did the lump appear - gradual or sudden?,I don't have a lump.,714069,218
21878,How often and at what times do you wake up at night?,I don't usually wake up.  I sleep pretty well.,714069,70
21882,How often do you have difficulty breathing?,I don't have difficulty breathing ... I am feeling a little short of breath.,714069,541-19
22160,At what age did your periods begin?,I'm a guy!,714254,107
22173,Do you or any family members have problems with bullying?,No,714254,1303
22174,Are you able to get free of responsibilities so that you can go to clinic appointments?,Yes.,714254,1308
22175,"Do the places where you get medical help (pharmacy, other clinics) provide the language translation you need?",Why are you asking me this?,714254,1283
22177,Can you afford the co-pays for your clinic visits and medications?,Yup.,714254,1307
22180,What community resources do you have access to that can provide assistance?,I don't know why you are asking me this.,714254,1299
22182,Have you had intimate contact including kissing with others?,Uh..why do you need to know that?,714254,1177
22185,Please explain why you are seeking asylum.,Why are you asking me this?,714254,784
22186,What would happen to you if you returned to your home country?,This is my country!,714254,772
22188,Has your partner ever threatened or assaulted you with any weapon (including knives and/or other objects)?,What? Why are you asking this?,714254,1579
22191,Does your partner control your access to money?,I don't know why you are asking me this.,714254,1585
22464,Do you have any other symptoms associated with your weight gain?,I don't have that problem.,714476,598-53
22696,Do these unusual sounds pulse in time with your heartbeat?,I don't hear unusual sounds.,714700,504
23110,When did your problem with weight loss start?,Don't have that problem.,715137,561-54
23163,Has anyone suffered from migraines in your family?,No.,715137,1128
23233,How quickly does your difficulty breathing come on?,I don't have difficulty breathing ... I am feeling a little short of breath.,715165,603-19
23309,Have you ever had radiation therapy?,Nope.,715185,1698
23328,Does anyone in your family have anemia?,Nope.,715185,1113
23337,Do you chew your food well?,Yes.,715185,1351
23338,Do you eat your food quickly?,No.,715185,1346
23537,Any tingling or numbness in your feet?,No.,715478,227-255
23982,Have you had any trauma to your chest?,Nope.,716044,596-204
24334,Does anyone in your family have similar problems with memory loss?,Uh...no.,716414,444-37
24349,Do you have emphysema?,No,716414,627
24353,Do you have a history of cirrhosis?,Uh...no.,716414,1142
24368,Have you dropped many of your activities and interests?,Uh...no.,716414,719
24395,Have you been exposed to asbestos?,Nope.,716414,1408
24636,Do you ever have withdrawal symptoms if you don't drink for a day or two? Feeling shaky or jittery?,Nope.,717512,1228
24997,Do you have any pain or any other symptoms associated with your runny nose/nasal congestion?,I haven't had that problem.,718569,1705
